Kabupaten/Kota;jumlah kejahatan (2020);persentase korban (2020);jumlah kejahatan (2021)     ;persentase korban (2021)
Buton;76;0.33;68;0.28
Muna;681;0.67;471;1.15
Konawe;265;0.6;277;1.48
Kolaka;214;0.12;212;0.81
Konawe Selatan;427;0.83;391;1.65
Bombana;37;0.48;53;0.58
Wakatobi;218;0.69;204;0.09
Kolaka Utara;149;0.51;67;0.68
Buton Utara;116;0.4;124;0.99
Konawe Utara;92;0.86;126;0.98
Kolaka Timur;44;2.37;26;3.2
Konawe Kepulauan;27;0.27;7;0.35
Muna Barat;0;0.89;81;0.87
Buton Tengah;0;0.6;28;0.5
Buton Selatan;0;0.48;30;0.05
Baubau;225;1.71;245;2.34
kendari;1079;1.79;590;2.35
